_step,critic/rewards_onpolicy/mean,actor/entropy_loss,diag/teacher_token_ratio,diag/exp_token_ratio,diag/reward_onpolicy_mean,diag/reward_teacher_mean,diag/entropy_onpolicy_token_mean,diag/entropy_teacher_token_mean,diag/group_teacher_minus_on_reward_mean,diag/adv_onpolicy_token_mean,diag/adv_teacher_token_mean,diag/onpolicy_adv_pos_ratio,diag/teacher_adv_pos_ratio,actor/off_pg_loss,actor/on_pg_loss
31,0.38596490025520325,0.13019375503063202,0.006187595892697573,0.006187595892697573,0.38596490025520325,1,0.12881284952163696,0.3519858717918396,0.5918367346938777,-0.03136379271745682,1.2511478662490845,0.2631579041481018,0.8571428656578064,-0.07185385376214981,0.31162717938423157
32,0.4464285671710968,0.11774305254220963,0.007716127205640078,0.007716127205640078,0.4464285671710968,1,0.11590056121349335,0.354684054851532,0.5535714285714286,-0.04015856236219406,1.250170350074768,0.1964285671710968,0.75,-0.16067010164260864,0.009473929181694984
33,0.5714285969734192,0.15033957362174988,0.01044630166143179,0.01044630166143179,0.5714285969734192,1,0.14828389883041382,0.34506693482398987,0.42857142857142855,-0.05131658911705017,1.0132066011428833,0.4464285671710968,0.875,-0.020088203251361847,0.25816238671541214
34,0.5535714030265808,0.13082212209701538,0.0061272382736206055,0.0061272382736206055,0.5535714030265808,1,0.12969738245010376,0.31326213479042053,0.4464285714285714,-0.046556249260902405,0.8307036757469177,0.4285714328289032,0.875,-0.20409998297691345,0.18719273060560226
35,0.6607142686843872,0.14102324843406677,0.011969519779086113,0.011969519779086113,0.6607142686843872,1,0.1383053958415985,0.3653699457645416,0.3392857142857143,-0.02648930810391903,0.8404453992843628,0.1607142835855484,0.5,-0.09205576032400131,0.17125631496310234
36,0.6140350699424744,0.1999719738960266,0.0073653701692819595,0.0073653701692819595,0.6140350699424744,1,0.19879166781902313,0.3590409755706787,0.3469387755102041,-0.055551014840602875,0.6293736696243286,0.24561403691768646,0.5714285969734192,-0.10978294163942337,0.22450998052954674
37,0.75,0.1656440794467926,0.012173456139862537,0.012173456139862537,0.75,1,0.1636059284210205,0.3310315012931824,0.25,-0.04687551036477089,0.48678213357925415,0.375,0.625,-0.15007305517792702,-0.1597246341407299
38,0.5438596606254578,0.13773249089717865,0.004958247300237417,0.004958247300237417,0.5438596606254578,1,0.1367110311985016,0.34272024035453796,0.38775510204081637,-0.04118989780545235,0.7297847867012024,0.5438596606254578,1.0,-0.06125679984688759,-0.20918838120996952
39,0.45614033937454224,0.12993578612804413,0.008759829215705395,0.008759829215705395,0.45614033937454224,1,0.12820476293563843,0.3258149027824402,0.46938775510204084,-0.03973531723022461,0.871703565120697,0.45614033937454224,1.0,-0.09431703761219978,0.23876388743519783
40,0.6607142686843872,0.16073104739189148,0.008173884823918343,0.008173884823918343,0.6607142686843872,1,0.15937992930412292,0.3246801197528839,0.3392857142857143,-0.052979160100221634,0.6520403623580933,0.4107142984867096,0.75,-0.03068525716662407,0.16604670882225037
41,0.5535714030265808,0.14220963418483734,0.011729695834219456,0.011729695834219456,0.5535714030265808,1,0.13904394209384918,0.4089319109916687,0.4464285714285714,-0.04322607442736626,0.9745168685913086,0.3035714328289032,0.75,0.0,0.04197215661406517
42,0.4385964870452881,0.14070270955562592,0.006179049611091614,0.006179049611091614,0.4385964870452881,1,0.1392984241247177,0.36656060814857483,0.5306122448979592,-0.03480663150548935,1.2861809730529785,0.19298245012760162,0.7142857313156128,-0.14061741530895233,0.13145165517926216
43,0.4821428656578064,0.14938707649707794,0.006390350870788097,0.006390350870788097,0.4821428656578064,1,0.14817576110363007,0.33773255348205566,0.5178571428571428,-0.04815908148884773,1.074993371963501,0.3571428656578064,0.875,-0.13322435691952705,0.2653907276690006
